,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
82063,USC00049639,38.5667,-121.0833,107.0,CA,WHITE ROCK,,,
82064,USC00049660,33.9758,-118.0222,135.9,CA,WHITTIER CITY YARD FC106C,,,
82065,USC00049671,36.2656,-117.1853,1249.7,CA,WILDROSE RS,,,
82066,USC00049677,39.15,-122.15,25.9,CA,WILLIAMS,,,
82067,USC00049684,39.4194,-123.3425,412.4,CA,WILLITS 1 NE,,,
82068,USC00049685,39.35,-123.3167,586.7,CA,WILLITS HOWARD FOREST,,,
82069,USC00049691,41.8333,-120.75,1585.9,CA,WILLOW CREEK RCH,,,
82070,USC00049694,40.9467,-123.6364,141.4,CA,WILLOW CREEK 1 NW,,,
82071,USC00049699,39.5231,-122.3047,71.3,CA,WILLOWS 6 W,,HCN,
82072,USC00049700,39.5333,-122.2,43.0,CA,WILLOWS USBR,,,
82073,USC00049722,33.7167,-117.0833,451.1,CA,WINCHESTER,,,
82074,USC00049742,38.5253,-121.9778,41.1,CA,WINTERS,,,
82075,USC00049754,35.7167,-118.45,833.0,CA,WOFFORD HTS KERNVILLE,,,
82076,USC00049758,39.0167,-121.0833,396.8,CA,WOLF,,,
82077,USC00049775,38.7833,-119.8,1722.1,CA,WOODFORDS,,,
82078,USC00049781,38.6828,-121.7939,20.4,CA,WOODLAND 1 WNW,,,
82079,USC00049785,34.1819,-118.5744,240.8,CA,WOODLAND HILLS PIERCE COLLEGE,,,
82080,USC00049792,37.4286,-122.2561,115.8,CA,WOODSIDE FIRE STN 1,,,
82081,USC00049814,37.1333,-121.95,487.7,CA,WRIGHTS,,,
82082,USC00049822,34.3617,-117.6386,1828.8,CA,WRIGHTWOOD,,,
82083,USC00049847,33.89,-117.8189,106.7,CA,YORBA LINDA,,,
82084,USC00049851,38.9053,-123.2314,335.3,CA,YORKVILLE,,,
82085,USC00049855,37.75,-119.5897,1224.7,CA,YOSEMITE PARK HQ,,HCN,
82086,USC00049859,38.395,-122.3567,29.0,CA,YOUNTVILLE,,,
82087,USC00049866,41.7036,-122.6408,800.1,CA,YREKA,,HCN,
82088,USC00049881,35.4,-115.8167,1204.9,CA,YUCCA GROVE,,,
82089,USC00049884,34.2183,-116.4072,1050.0,CA,YUCCA MESA,,,
82090,USC00049888,34.1294,-116.3878,990.3,CA,YUCCA VALLEY,,,
102207,USP00CA0001,38.5553,-121.4183,11.6,CA,SACRAMENTO 5ESE,,,
102208,USP00CA0002,38.5817,-121.4843,7.0,CA,SACRAMENTO-GERRISH,,,
102209,USP00CA0003,38.5069,-121.495,4.6,CA,SACRAMENTO AP ASOS,GSN,,72483.0
102462,USR0000CABS,40.3983,-122.8333,579.1,CA,ARBUCKLE BASIN CALIFORNIA,,,
102463,USR0000CACT,34.4458,-118.2,792.5,CA,ACTON CALIFORNIA,,,
102464,USR0000CAGD,35.1792,-120.3919,319.4,CA,ARROYO GRANDE CALIFORNIA,,,
102465,USR0000CALD,39.6514,-122.7236,1310.6,CA,ALDER SPRINGS CALIFORNIA,,,
102466,USR0000CALP,32.8336,-116.7392,622.1,CA,ALPINE CALIFORNIA,,,
102467,USR0000CALT,37.3581,-122.1472,196.6,CA,LOS ALTOS CALIFORNIA,,,
102468,USR0000CAMM,33.3814,-117.2856,325.5,CA,AMMO DUMP CALIFORNIA,,,
