,YearMonth,temp_bins,0
1031,199009,>100F,0
1032,199010,30-39F,0
1033,199010,40-49F,0
1034,199010,50-59F,0
1035,199010,60-69F,4
1036,199010,70-79F,20
1037,199010,80-89F,7
1038,199010,90-99F,0
1039,199010,>100F,0
1040,199011,30-39F,0
1041,199011,40-49F,0
1042,199011,50-59F,6
1043,199011,60-69F,17
1044,199011,70-79F,7
1045,199011,80-89F,0
1046,199011,90-99F,0
1047,199011,>100F,0
1048,199012,30-39F,3
1049,199012,40-49F,2
1050,199012,50-59F,17
1051,199012,60-69F,9
1052,199012,70-79F,0
1053,199012,80-89F,0
1054,199012,90-99F,0
1055,199012,>100F,0
1056,199101,30-39F,0
1057,199101,40-49F,0
1058,199101,50-59F,22
1059,199101,60-69F,9
1060,199101,70-79F,0
1061,199101,80-89F,0
1062,199101,90-99F,0
1063,199101,>100F,0
1064,199102,30-39F,0
1065,199102,40-49F,0
1066,199102,50-59F,2
1067,199102,60-69F,21
1068,199102,70-79F,5
1069,199102,80-89F,0
1070,199102,90-99F,0
1071,199102,>100F,0
1072,199103,30-39F,0
1073,199103,40-49F,0
1074,199103,50-59F,22
1075,199103,60-69F,9
1076,199103,70-79F,0
1077,199103,80-89F,0
1078,199103,90-99F,0
1079,199103,>100F,0
1080,199104,30-39F,0
1081,199104,40-49F,0
1082,199104,50-59F,7
1083,199104,60-69F,16
1084,199104,70-79F,7
1085,199104,80-89F,0
1086,199104,90-99F,0
1087,199104,>100F,0
1088,199105,30-39F,0
1089,199105,40-49F,0
1090,199105,50-59F,5
1091,199105,60-69F,18
1092,199105,70-79F,8
1093,199105,80-89F,0
1094,199105,90-99F,0
1095,199105,>100F,0
1096,199106,30-39F,0
1097,199106,40-49F,0
1098,199106,50-59F,0
1099,199106,60-69F,14
1100,199106,70-79F,16
1101,199106,80-89F,0
1102,199106,90-99F,0
1103,199106,>100F,0
1104,199107,30-39F,0
1105,199107,40-49F,0
1106,199107,50-59F,0
1107,199107,60-69F,5
1108,199107,70-79F,20
1109,199107,80-89F,5
1110,199107,90-99F,1
1111,199107,>100F,0
1112,199108,30-39F,0
1113,199108,40-49F,0
1114,199108,50-59F,0
1115,199108,60-69F,7
1116,199108,70-79F,21
1117,199108,80-89F,3
1118,199108,90-99F,0
1119,199108,>100F,0
1120,199109,30-39F,0
1121,199109,40-49F,0
1122,199109,50-59F,0
1123,199109,60-69F,2
1124,199109,70-79F,20
1125,199109,80-89F,8
1126,199109,90-99F,0
1127,199109,>100F,0
1128,199110,30-39F,0
1129,199110,40-49F,0
1130,199110,50-59F,0
1131,199110,60-69F,10
1132,199110,70-79F,7
1133,199110,80-89F,13
1134,199110,90-99F,1
1135,199110,>100F,0
1136,199111,30-39F,0
1137,199111,40-49F,0
1138,199111,50-59F,3
1139,199111,60-69F,18
1140,199111,70-79F,9
1141,199111,80-89F,0
1142,199111,90-99F,0
1143,199111,>100F,0
1144,199112,30-39F,0
1145,199112,40-49F,0
1146,199112,50-59F,18
1147,199112,60-69F,13
1148,199112,70-79F,0
1149,199112,80-89F,0
1150,199112,90-99F,0
1151,199112,>100F,0
1152,199201,30-39F,0
1153,199201,40-49F,2
1154,199201,50-59F,27
1155,199201,60-69F,2
1156,199201,70-79F,0
1157,199201,80-89F,0
1158,199201,90-99F,0
