YearMonth,prcp_bins,0
199307,>30mm,0
199308,0mm,31
199308,1-4mm,0
199308,5-14mm,0
199308,15-29mm,0
199308,>30mm,0
199309,0mm,28
199309,1-4mm,2
199309,5-14mm,0
199309,15-29mm,0
199309,>30mm,0
199310,0mm,21
199310,1-4mm,9
199310,5-14mm,1
199310,15-29mm,0
199310,>30mm,0
199311,0mm,21
199311,1-4mm,5
199311,5-14mm,2
199311,15-29mm,2
199311,>30mm,0
199312,0mm,16
199312,1-4mm,9
199312,5-14mm,6
199312,15-29mm,0
199312,>30mm,0
199401,0mm,20
199401,1-4mm,8
199401,5-14mm,2
199401,15-29mm,1
199401,>30mm,0
199402,0mm,13
199402,1-4mm,7
199402,5-14mm,7
199402,15-29mm,1
199402,>30mm,0
199403,0mm,21
199403,1-4mm,10
199403,5-14mm,0
199403,15-29mm,0
199403,>30mm,0
199404,0mm,24
199404,1-4mm,2
199404,5-14mm,4
199404,15-29mm,0
199404,>30mm,0
199405,0mm,20
199405,1-4mm,8
199405,5-14mm,2
199405,15-29mm,1
199405,>30mm,0
199406,0mm,28
199406,1-4mm,2
199406,5-14mm,0
199406,15-29mm,0
199406,>30mm,0
199407,0mm,31
199407,1-4mm,0
199407,5-14mm,0
199407,15-29mm,0
199407,>30mm,0
199408,0mm,31
199408,1-4mm,0
199408,5-14mm,0
199408,15-29mm,0
199408,>30mm,0
199409,0mm,26
199409,1-4mm,4
199409,5-14mm,0
199409,15-29mm,0
199409,>30mm,0
199410,0mm,27
199410,1-4mm,3
199410,5-14mm,1
199410,15-29mm,0
199410,>30mm,0
199411,0mm,9
199411,1-4mm,11
199411,5-14mm,8
199411,15-29mm,0
199411,>30mm,2
199412,0mm,11
199412,1-4mm,15
199412,5-14mm,5
199412,15-29mm,0
199412,>30mm,0
199501,0mm,3
199501,1-4mm,10
199501,5-14mm,16
199501,15-29mm,1
199501,>30mm,1
199502,0mm,20
199502,1-4mm,8
199502,5-14mm,0
199502,15-29mm,0
199502,>30mm,0
199503,0mm,10
199503,1-4mm,11
199503,5-14mm,4
199503,15-29mm,6
199503,>30mm,0
199504,0mm,13
199504,1-4mm,17
199504,5-14mm,0
199504,15-29mm,0
199504,>30mm,0
199505,0mm,20
199505,1-4mm,7
199505,5-14mm,4
199505,15-29mm,0
199505,>30mm,0
199506,0mm,25
199506,1-4mm,4
199506,5-14mm,0
199506,15-29mm,1
199506,>30mm,0
199507,0mm,30
199507,1-4mm,1
199507,5-14mm,0
199507,15-29mm,0
199507,>30mm,0
199508,0mm,31
199508,1-4mm,0
199508,5-14mm,0
199508,15-29mm,0
199508,>30mm,0
199509,0mm,30
199509,1-4mm,0
199509,5-14mm,0
199509,15-29mm,0
199509,>30mm,0
199510,0mm,30
199510,1-4mm,1
199510,5-14mm,0
199510,15-29mm,0
199510,>30mm,0
199511,0mm,24
199511,1-4mm,6
199511,5-14mm,0
199511,15-29mm,0
199511,>30mm,0
199512,0mm,3
199512,1-4mm,22
199512,5-14mm,4
199512,15-29mm,0
199512,>30mm,2
199601,0mm,8
199601,1-4mm,14
199601,5-14mm,6
199601,15-29mm,3
199601,>30mm,0
199602,0mm,5
199602,1-4mm,14
199602,5-14mm,7
199602,15-29mm,3
199602,>30mm,0
199603,0mm,18
199603,1-4mm,10
199603,5-14mm,2
199603,15-29mm,1
199603,>30mm,0
199604,0mm,19
199604,1-4mm,7
199604,5-14mm,4
199604,15-29mm,0
199604,>30mm,0
199605,0mm,23
199605,1-4mm,6
199605,5-14mm,0
199605,15-29mm,2
199605,>30mm,0
199606,0mm,29
199606,1-4mm,1
199606,5-14mm,0
199606,15-29mm,0
199606,>30mm,0
199607,0mm,31
199607,1-4mm,0
199607,5-14mm,0
199607,15-29mm,0
199607,>30mm,0
199608,0mm,31
199608,1-4mm,0
199608,5-14mm,0
199608,15-29mm,0
199608,>30mm,0
