YearMonth,temp_bins,0
199010,90-99F,0
199010,>100F,0
199011,30-39F,0
199011,40-49F,0
199011,50-59F,6
199011,60-69F,17
199011,70-79F,7
199011,80-89F,0
199011,90-99F,0
199011,>100F,0
199012,30-39F,3
199012,40-49F,6
199012,50-59F,16
199012,60-69F,6
199012,70-79F,0
199012,80-89F,0
199012,90-99F,0
199012,>100F,0
199101,30-39F,0
199101,40-49F,1
199101,50-59F,22
199101,60-69F,8
199101,70-79F,0
199101,80-89F,0
199101,90-99F,0
199101,>100F,0
199102,30-39F,0
199102,40-49F,0
199102,50-59F,6
199102,60-69F,21
199102,70-79F,1
199102,80-89F,0
199102,90-99F,0
199102,>100F,0
199103,30-39F,0
199103,40-49F,1
199103,50-59F,24
199103,60-69F,6
199103,70-79F,0
199103,80-89F,0
199103,90-99F,0
199103,>100F,0
199104,30-39F,0
199104,40-49F,0
199104,50-59F,8
199104,60-69F,16
199104,70-79F,6
199104,80-89F,0
199104,90-99F,0
199104,>100F,0
199105,30-39F,0
199105,40-49F,0
199105,50-59F,4
199105,60-69F,16
199105,70-79F,10
199105,80-89F,1
199105,90-99F,0
199105,>100F,0
199106,30-39F,0
199106,40-49F,0
199106,50-59F,0
199106,60-69F,11
199106,70-79F,13
199106,80-89F,6
199106,90-99F,0
199106,>100F,0
199107,30-39F,0
199107,40-49F,0
199107,50-59F,0
199107,60-69F,0
199107,70-79F,17
199107,80-89F,10
199107,90-99F,4
199107,>100F,0
199108,30-39F,0
199108,40-49F,0
199108,50-59F,0
199108,60-69F,3
199108,70-79F,18
199108,80-89F,10
199108,90-99F,0
199108,>100F,0
199109,30-39F,0
199109,40-49F,0
199109,50-59F,0
199109,60-69F,0
199109,70-79F,14
199109,80-89F,13
199109,90-99F,3
199109,>100F,0
199110,30-39F,0
199110,40-49F,0
199110,50-59F,1
199110,60-69F,8
199110,70-79F,4
199110,80-89F,16
199110,90-99F,2
199110,>100F,0
199111,30-39F,0
199111,40-49F,0
199111,50-59F,6
199111,60-69F,17
199111,70-79F,7
199111,80-89F,0
199111,90-99F,0
199111,>100F,0
199112,30-39F,0
199112,40-49F,3
199112,50-59F,25
199112,60-69F,3
199112,70-79F,0
199112,80-89F,0
199112,90-99F,0
199112,>100F,0
199201,30-39F,0
199201,40-49F,7
199201,50-59F,24
199201,60-69F,0
199201,70-79F,0
199201,80-89F,0
199201,90-99F,0
199201,>100F,0
199202,30-39F,0
199202,40-49F,0
199202,50-59F,17
199202,60-69F,9
199202,70-79F,3
199202,80-89F,0
199202,90-99F,0
199202,>100F,0
199203,30-39F,0
199203,40-49F,0
199203,50-59F,9
199203,60-69F,22
199203,70-79F,0
199203,80-89F,0
199203,90-99F,0
199203,>100F,0
199204,30-39F,0
199204,40-49F,0
199204,50-59F,0
199204,60-69F,15
199204,70-79F,13
199204,80-89F,2
199204,90-99F,0
199204,>100F,0
199205,30-39F,0
199205,40-49F,0
199205,50-59F,0
199205,60-69F,2
199205,70-79F,21
199205,80-89F,8
199205,90-99F,0
199205,>100F,0
199206,30-39F,0
199206,40-49F,0
199206,50-59F,0
199206,60-69F,6
199206,70-79F,18
199206,80-89F,6
199206,90-99F,0
199206,>100F,0
199207,30-39F,0
199207,40-49F,0
199207,50-59F,0
199207,60-69F,0
199207,70-79F,16
199207,80-89F,15
199207,90-99F,0
199207,>100F,0
199208,30-39F,0
199208,40-49F,0
199208,50-59F,0
199208,60-69F,1
199208,70-79F,9
199208,80-89F,18
199208,90-99F,3
199208,>100F,0
199209,30-39F,0
199209,40-49F,0
199209,50-59F,0
199209,60-69F,0
199209,70-79F,16
199209,80-89F,13
199209,90-99F,1
199209,>100F,0
199210,30-39F,0
199210,40-49F,0
199210,50-59F,0
